User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
Administrator,,2021-02-22T00:27:17Z,signin.amazonaws.com,ConsoleLogin,us-east-1,97.108.128.22,"Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",,[],,9aa7655c-2ba7-40d7-8d2a-3b2350e7e930,false,AwsConsoleSignIn,776261401472,Management
CloudTrail,ASIA3JPGI7OAM2FLU44D,2021-02-22T00:24:41Z,cloudtrail.amazonaws.com,StartLogging,us-east-1,97.108.128.22,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",3e6d59bb-a55a-4651-bf64-99c73e25c6cd,c3a9693f-8c2d-4d55-9de1-5041187290e2,false,AwsApiCall,776261401472,Management
CloudTrail,ASIA3JPGI7OAM2FLU44D,2021-02-22T00:24:40Z,cloudtrail.amazonaws.com,PutEventSelectors,us-east-1,97.108.128.22,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:776261401472:trail/Udacity_Trail""}]",bcf8f8dc-307a-4166-975b-22351e517ef9,24c524f9-cdbb-4f31-b46c-95876b2ead31,false,AwsApiCall,776261401472,Management
CloudTrail,ASIA3JPGI7OAM2FLU44D,2021-02-22T00:24:40Z,s3.amazonaws.com,PutBucketPolicy,us-east-1,97.108.128.22,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.952 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.282-b08 java/1.8.0_282 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-776261401472-60198a23""}]",0A0B36C548A1DFB0,2b530893-34d2-4af0-a859-47a305b155ab,false,AwsApiCall,776261401472,Management
CloudTrail,ASIA3JPGI7OAM2FLU44D,2021-02-22T00:24:40Z,cloudtrail.amazonaws.com,CreateTrail,us-east-1,97.108.128.22,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:776261401472:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-776261401472-60198a23""},{""resourceType"":""AWS::KMS::Key"",""resourceName"":""arn:aws:kms:us-east-1:776261401472:key/9351e13b-7426-42eb-9402-88025a9d4f9d""}]",46e30e09-d584-4076-882f-1b4c4d8575c7,378a4aa3-58e9-44ac-818a-3fedf320c67f,false,AwsApiCall,776261401472,Management
CloudTrail,ASIA3JPGI7OAM2FLU44D,2021-02-22T00:24:40Z,cloudtrail.amazonaws.com,PutInsightSelectors,us-east-1,97.108.128.22,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:776261401472:trail/Udacity_Trail""}]",8bd12314-c443-4fc6-b1e2-fc1de760c212,3a4ae947-c306-4b17-8f85-7afc3ce8f104,false,AwsApiCall,776261401472,Management
CloudTrail,ASIA3JPGI7OAM2FLU44D,2021-02-22T00:24:40Z,kms.amazonaws.com,CreateKey,us-east-1,97.108.128.22,"AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.952 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.282-b08 java/1.8.0_282 vendor/Oracle_Corporation",,"[{""resourceType"":""AWS::KMS::Key"",""resourceName"":""9351e13b-7426-42eb-9402-88025a9d4f9d""}]",b3cbe3f9-e8ed-4105-aaa7-c5ef1fcf8c3e,43b6a8cb-c3a4-4e60-a851-1cfe5208aa0c,false,AwsApiCall,776261401472,Management
CloudTrail,ASIA3JPGI7OAM2FLU44D,2021-02-22T00:24:40Z,s3.amazonaws.com,CreateBucket,us-east-1,97.108.128.22,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.952 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.282-b08 java/1.8.0_282 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-776261401472-60198a23""}]",CZ6R8S2J6YBH8MDW,8bde0102-089f-4e35-bce5-f78494d62a6e,false,AwsApiCall,776261401472,Management
CloudTrail,ASIA3JPGI7OAM2FLU44D,2021-02-22T00:24:40Z,kms.amazonaws.com,CreateAlias,us-east-1,97.108.128.22,"AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.952 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.282-b08 java/1.8.0_282 vendor/Oracle_Corporation",,[],77e8f14f-1398-4637-b72a-5a74d2fe37a6,982131a2-1987-465e-b92b-5ff8a2233fc8,false,AwsApiCall,776261401472,Management
CloudTrail,ASIA3JPGI7OAM2FLU44D,2021-02-22T00:24:40Z,s3.amazonaws.com,PutBucketPublicAccessBlock,us-east-1,97.108.128.22,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.952 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.282-b08 java/1.8.0_282 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-776261401472-60198a23""}]",B6410F8A250068AB,e4206524-abd8-4907-b349-c392264eec2d,false,AwsApiCall,776261401472,Management
CloudTrail,,2021-02-22T00:23:57Z,signin.amazonaws.com,ConsoleLogin,us-east-1,97.108.128.22,"Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",,[],,700423e5-0e9b-41f9-b707-fe93717e1752,false,AwsConsoleSignIn,776261401472,Management
Administrator,ASIA3JPGI7OADCOXKOMH,2021-02-22T00:23:35Z,iam.amazonaws.com,PutGroupPolicy,us-east-1,97.108.128.22,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""CloudTrail-S3-PutBucketPublicAccessBlock""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",47ea2d22-9a50-4b8c-9320-b9d00583cecf,ba567178-9b35-4f75-8c7e-38a015317ad9,false,AwsApiCall,776261401472,Management
Administrator,,2021-02-22T00:14:35Z,signin.amazonaws.com,ConsoleLogin,us-east-1,97.108.128.22,"Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",,[],,0295bc69-020c-4ec7-b943-294a58a0d0fa,false,AwsConsoleSignIn,776261401472,Management
CloudTrail,,2021-02-22T00:14:02Z,signin.amazonaws.com,ConsoleLogin,us-east-1,97.108.128.22,"Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",,[],,02e2a538-9821-43e0-b9ed-40f9a82fc6fc,false,AwsConsoleSignIn,776261401472,Management
CloudTrail,ASIA3JPGI7OAGSJ65YNI,2021-02-22T00:05:48Z,s3.amazonaws.com,CreateBucket,us-east-1,97.108.128.22,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.952 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.282-b08 java/1.8.0_282 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-776261401472-16549a7d""}]",FRAQ2XBY6J3V1N6J,23aa1025-f109-4665-b0a9-fd4089b4b2c9,false,AwsApiCall,776261401472,Management
CloudTrail,ASIA3JPGI7OAGSJ65YNI,2021-02-22T00:05:48Z,s3.amazonaws.com,PutBucketPolicy,us-east-1,97.108.128.22,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.952 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.282-b08 java/1.8.0_282 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-776261401472-16549a7d""}]",4GDM4WFVAR3W9T8J,41c3042a-65c1-4861-853f-b779ec900e4e,false,AwsApiCall,776261401472,Management
CloudTrail,ASIA3JPGI7OAGSJ65YNI,2021-02-22T00:05:48Z,s3.amazonaws.com,PutBucketPublicAccessBlock,us-east-1,97.108.128.22,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.952 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.282-b08 java/1.8.0_282 vendor/Oracle_Corporation]",AccessDenied,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-776261401472-16549a7d""}]",F4AEE2EAA840C5BC,ca62abcc-6540-4e29-a0f5-e32dbe5575b2,false,AwsApiCall,776261401472,Management
CloudTrail,,2021-02-22T00:01:59Z,signin.amazonaws.com,ConsoleLogin,us-east-1,97.108.128.22,"Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",,[],,017ff16e-97e4-4929-905b-bdd5a64c3000,false,AwsConsoleSignIn,776261401472,Management
Administrator,,2021-02-21T23:45:48Z,signin.amazonaws.com,ConsoleLogin,us-east-1,97.108.128.22,"Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",,[],,21de6abf-f083-4b71-996a-3b504f48dc7c,false,AwsConsoleSignIn,776261401472,Management
